"Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"        Idaho (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.071991369","0.063782661","0.067528281","0.041121983","0.057","0.0736251851",,
"        Illinois (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.054420505","0.051382408","0.051393557","0.048443525","0.051","0.0462978955",,
"        Indiana (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.083974033","0.080287249","0.071782631","0.069598056","0.071","0.0741024869",,
"        Iowa (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.046403118","0.050236632","0.045524653","0.044606237","0.037","0.0474715378",,
"        Kansas (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.048795478","0.058694841","0.060957302","0.053288298","0.057","0.0516181131",,
"        Kentucky (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.076487847","0.063708667","0.0687016","0.065761044","0.052","0.0563215511",,
"        Louisiana (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.115775968","0.106403187","0.088612577","0.086717875","0.08","0.0776106068",,
"        Maine (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.039067634","0.046528304","0.043387162","0.041055534","0.0289999999","0.0428815839",,
"        Maryland (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.054149939","0.059632359","0.052042092","0.052470333","0.04","0.0390118757",,
"        Massachusetts (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.039607233","0.038226097","0.03783077","0.037818817","0.036","0.0383526551",,
"        Michigan (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.064064042","0.060284687","0.063501242","0.061274025","0.052","0.0529793285",,
"        Minnesota (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.044573191","0.040077116","0.043855411","0.042729363","0.036","0.0419896217",,
"        Mississippi (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.096139813","0.084210392","0.069042497","0.06187193","0.067","0.0624900025",,
"        Missouri (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.059312479","0.058241132","0.061756583","0.057543684","0.0559999999","0.0598665716",,
"        Montana (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.084856885","0.066568059","0.083606238","0.051593855","0.057","0.0647978991",,
"        Nebraska (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.044497885","0.039431337","0.047193549","0.051322402","0.053","0.0431302577",,
"        Nevada (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.109051648","0.086389833","0.098664983","0.081988575","0.076","0.0790244417",,
"        New Hampshire (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.031083257","0.037448846","0.045642198","0.039052136","0.037","0.0406947517",,
"        New Jersey (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.042793629","0.046021949","0.039455728","0.037368361","0.032","0.0358488311",,
"        New Mexico (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.084493002","0.094715471","0.090504519","0.081596102","0.079","0.1033382735",,
"        New York (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.066164341","0.060435732","0.053134028","0.055274764","0.05","0.0475696841",,
"        North Carolina (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.079752304","0.058229632","0.06879224","0.060184685","0.0579999999","0.0569168285",,
"        North Dakota (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.070305758","0.053261686","0.056068649","0.026540349","0.04","0.0271108433",,
